Group,Pos,Team,PL,W,D,L,GD,PTS
A,1,,,,,,,
A,2,,,,,,,
A,3,,,,,,,
A,4,,,,,,,
B,1,,,,,,,
B,2,,,,,,,
B,3,,,,,,,
B,4,,,,,,,
C,1,,,,,,,
C,2,,,,,,,
C,3,,,,,,,
C,4,,,,,,,
D,1,,,,,,,
D,2,,,,,,,
D,3,,,,,,,
D,4,,,,,,,
E,1,,,,,,,
E,2,,,,,,,
E,3,,,,,,,
E,4,,,,,,,
F,1,,,,,,,
F,2,,,,,,,
F,3,,,,,,,
F,4,,,,,,,
G,1,,,,,,,
G,2,,,,,,,
G,3,,,,,,,
G,4,,,,,,,
H,1,,,,,,,
H,2,,,,,,,
H,3,,,,,,,
H,4,,,,,,,
I,1,,,,,,,
I,2,,,,,,,
I,3,,,,,,,
I,4,,,,,,,
J,1,,,,,,,
J,2,,,,,,,
J,3,,,,,,,
J,4,,,,,,,
K,1,,,,,,,
K,2,,,,,,,
K,3,,,,,,,
K,4,,,,,,,
L,1,,,,,,,
L,2,,,,,,,
L,3,,,,,,,
L,4,,,,,,,
